GRIDCODE	CVE_ENTMUN	Fterr
400886	19017	0.1306842
400887	19017	0.139460704
400894	19043	0.2266414
400895	19043	0.012164774
401945	19017	0.222583323
401952	19043	0.070177795
401953	19043	0.159958045
403002	19017	0.190347097
403003	19017	0.201224381
403004	19017	0.063134482
403010	19043	0.05952869
403011	19043	0.179230912
404061	19017	0.052565814
404063	5004	0.014761778
404068	5004	0.027135501
404068	19043	0.020989402
404069	19043	0.228942814
404079	19038	0.989859671
405120	5004	0.02905576
405121	5004	0.060150951
405122	5004	0.054738024
405126	5004	0.101255458
405127	5004	0.048406809
405127	19043	0.042366169
406180	5004	0.07799109
406184	5004	0.168940438
406185	5004	0.014718498
407217	5030	0.261668237
407239	5004	0.011703031
407240	5004	0.048300025
407241	5004	0.045166126
407242	5004	0.047373818
407243	5004	0.000843369
408297	5004	0.02148668
408298	5004	0.035506853
408312	19004	0.278216373
409359	19049	0.203443873
409360	19049	0.138492114
409371	19004	0.721783627
410412	5004	0.036364271
410413	5004	0.04496501
410414	5004	0.047122053
410415	5004	0.000815114
410415	19049	0.214951471
410416	19049	0.217125162
410417	19049	0.206383263
410418	19049	0.019604118
411469	5004	0.005831409
411470	5004	0.049090371
411471	5004	0.008277565
412511	5030	0.568020027
412512	5030	0.041494925
412550	19009	0.246170633
412550	19038	0.010140329
413571	5030	0.128816811
413609	19009	0.364225137
414666	19009	0.014390093
414668	19009	0.375214137
417812	5027	0.031941283
417834	19039	0.956982085
418871	5027	0.071347169
418893	19039	0.043017915
419929	5027	0.130224393
419930	5027	0.018662237
420987	5027	0.091166325
420988	5027	0.057859019
420995	19018	0.048487261
420996	19018	0.008265784
422054	19018	0.029372233
422055	19018	0.006455904
423114	19018	0.040884638
423149	19042	0.016108474
423150	19042	0.246134814
424160	5027	0.024023923
424173	19018	0.037248235
424206	19042	0.106447008
424207	19042	0.331695043
424208	19042	0.299614662
425232	19018	0.039786589
426278	5027	0.003039654
426291	19018	0.010803605
426292	19018	0.043373332
426293	19018	0.005425379
426297	19018	0.014187079
426298	19018	0.060966946
426299	19018	0.018979497
427352	19018	0.029631817
427353	19018	0.041929156
427354	19018	0.020597469
427355	19018	0.064089789
427356	19018	0.063226948
427357	19018	0.006724348
427358	19018	0.033614225
427359	19018	0.033293441
427360	19018	0.003028092
427360	19021	0.24802984
427361	19021	0.323454445
427362	19021	0.169170474
428414	19018	0.009208484
428415	19018	0.031215593
428420	19010	0.064883671
428420	19021	0.25934524
429474	19018	0.035109221
429479	19010	0.935116329
430521	5027	0.081213491
430522	5027	0.127079028
430533	19018	0.005080579
431580	5027	0.1309342
431581	5027	0.019336486
431582	5027	0.09529345
431582	19018	0.005355212
431583	19018	0.041971932
431584	19018	0.03248598
431586	19018	0.02952634
431587	19018	0.028625342
431588	19018	0.012787325
432638	5027	0.095906693
432639	5027	0.011337828
432643	19018	0.006055439
432644	19018	0.033544072
432645	19018	0.005990309
432647	19018	0.026811747
432648	19018	0.03586066
432648	19037	0.082755629
433707	19037	0.159858196
433708	19037	0.294484709
433709	19037	0.206401777
434768	19037	0.25649969
440046	5027	0.002513004
441105	5027	0.008121819
441129	19045	0.581720349
443254	19045	0.057916876
443255	19045	0.360362774
449600	19051	0.126804213
450659	19051	0.873195787
