GRIDCODE	CVENTMUN	Fp
7230	07089	1
35675	20324	1
39924	20413	1
43067	20318	1
51655	07097	1
57959	20079	1
78971	12001	1
92947	20407	1
94815	12057	1
120191	16052	1
127931	27004	1
135292	30039	0.5
137408	30039	0.5
143781	27002	1
150162	27014	1
152190	30178	1
156532	27003	1
158540	30011	1
159878	23004	0.25
161854	04003	0.333
161855	04003	0.334
162478	06007	0.5
164594	06007	0.5
167274	23004	0.25
167274	23004	0.25
168220	04003	0.333
170935	14022	1
177884	23004	0.25
192603	04004	1
210608	04002	0.333
212729	04002	0.334
213570	30211	1
221307	23009	1
222209	04002	0.333
223093	30158	1
225985	14067	0.5
230219	18020	1
230222	14067	0.5
231558	30033	1
241083	30189	1
244620	23001	1
247166	18004	1
248847	23008	0.5
251913	31011	1
253788	30151	1
254146	23008	0.5
261990	18012	0.5
263684	23005	0.333
264633	31038	1
267242	18012	0.5
268876	31059	0.5
270999	31059	0.5
274190	31083	1
276391	23005	0.334
276392	23005	0.333
277380	31028	1
278511	23003	0.5
279572	23003	0.5
286933	31065	1
286952	31096	1
287994	31061	0.5
288021	23007	1
289059	31061	0.5
291899	28009	1
299309	28003	1
301159	25009	0.5
315984	25009	0.5
321138	03008	0.5
327499	03008	0.5
329730	25012	0.5
330787	25012	0.5
350144	28037	1
370900	03003	0.333
376195	03003	0.334
380419	03003	0.333
384749	25018	1
399434	03001	0.5
407338	28022	1
415320	03001	0.5
424954	25001	1
437588	03009	0.5
445000	03009	0.5
468361	26033	1
493693	03002	0.25
501099	03002	0.25
510555	03002	0.25
518090	26029	0.5
520204	26029	0.5
525397	03002	0.25
530693	02001	0.333
600638	26047	1
650347	02002	1
657802	26048	1
674717	26055	1
688417	02001	0.334
689474	02001	0.333
709586	02005	1
